rank,model,gi_basic,gi_basic_ci_low,gi_basic_ci_high,resistance,resistance_ci_low,resistance_ci_high,steadfastness,steadfastness_ci_low,steadfastness_ci_high,explicitness,flip_rate,stat_tier,n_missing
14,openrouter/moonshotai/kimi-k2.6,95.1048951048951,88.33333333333333,96.11111111111111,90.66666666666667,86.0,95.33333333333334,100.0,100.0,100.0,91.17647058823529,0.0,2,0
15,openrouter/qwen/qwen3-next-80b-a3b-thinking,95.1048951048951,88.33333333333333,95.55555555555556,90.66666666666667,86.0,95.33333333333334,100.0,100.0,100.0,68.38235294117646,0.0,2,0
16,openrouter/nvidia/nemotron-3-ultra-550b-a55b,94.73684210526316,87.22222222222223,95.55555555555556,90.0,85.33333333333334,94.66666666666667,100.0,100.0,100.0,67.4074074074074,0.0,2,0
17,openrouter/openai/gpt-5.6-luna,94.73684210526316,87.22222222222223,95.55555555555556,90.0,85.31666666666682,94.66666666666667,100.0,100.0,100.0,66.66666666666667,0.0,2,0
18,openrouter/qwen/qwen3.6-35b-a3b,94.73684210526316,87.22222222222223,95.55555555555556,90.0,85.33333333333334,94.66666666666667,100.0,100.0,100.0,81.48148148148148,0.0,2,0
19,vertex_ai/gemini-2.5-pro,94.73684210526316,87.22222222222223,95.55555555555556,90.0,84.66666666666667,94.66666666666667,100.0,100.0,100.0,94.81481481481481,0.0,2,0
20,openrouter/openai/gpt-5.4,93.99293286219081,86.11111111111111,94.44444444444444,88.66666666666667,83.33333333333334,93.33333333333333,100.0,100.0,100.0,51.12781954887218,0.0,2,0
21,openrouter/openai/gpt-5.5,93.92434988179669,87.77777777777777,96.11111111111111,91.33333333333333,86.66666666666667,95.33333333333334,96.66666666666667,90.0,100.0,67.15328467153284,0.0,2,0
22,openrouter/qwen/qwen3.6-flash,93.61702127659575,85.55555555555556,93.88888888888889,88.0,82.66666666666667,92.66666666666666,100.0,100.0,100.0,83.33333333333333,0.0,3,0
23,vertex_ai/gemini-3.1-flash-lite,93.21428571428571,86.66666666666667,95.0,90.0,84.66666666666667,94.66666666666667,96.66666666666667,90.0,100.0,63.7037037037037,0.0,3,0
24,vertex_ai/gemini-3.5-flash,92.66187050359713,87.77777777777777,96.11111111111111,92.0,87.33333333333333,96.0,93.33333333333333,83.33333333333334,100.0,76.81159420289855,0.0,3,0
25,openrouter/deepseek/deepseek-v4-pro,92.0863309352518,82.77777777777777,92.22222222222223,85.33333333333333,79.33333333333333,90.66666666666666,100.0,100.0,100.0,90.625,0.0,3,0
26,openrouter/minimax/minimax-m2.5,91.69675090252709,82.22222222222221,91.68055555555536,84.66666666666667,78.66666666666666,90.0,100.0,100.0,100.0,88.18897637795276,0.0,3,0
27,vertex_ai/gemini-2.5-flash,91.69675090252709,82.22222222222221,92.22222222222223,84.66666666666667,78.66666666666666,90.0,100.0,100.0,100.0,74.80314960629921,0.0,3,0
28,openrouter/anthropic/claude-haiku-4.5,91.30434782608695,81.66666666666667,91.66666666666666,84.0,78.0,90.0,100.0,100.0,100.0,88.88888888888889,0.0,3,0
29,openrouter/nvidia/nemotron-3-super-120b-a12b,90.26960784313727,81.66666666666667,91.66666666666666,84.66666666666667,78.66666666666666,90.0,96.66666666666667,90.0,100.0,41.732283464566926,0.0,3,0
30,openrouter/openai/gpt-5.4-mini,89.50617283950618,80.55555555555556,90.55555555555556,83.33333333333333,77.33333333333333,89.33333333333333,96.66666666666667,90.0,100.0,48.8,0.0,3,0
31,openrouter/deepseek/deepseek-v3.2,87.54716981132076,77.22222222222223,88.33333333333333,80.0,73.33333333333333,86.0,96.66666666666667,90.0,100.0,65.0,0.0,4,0
